Game,Step,Cell_0_0,Cell_0_1,Cell_0_2,Cell_0_3,Cell_1_0,Cell_1_1,Cell_1_2,Cell_1_3,Cell_2_0,Cell_2_1,Cell_2_2,Cell_2_3,Cell_3_0,Cell_3_1,Cell_3_2,Cell_3_3,Move,Agent
20,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,30,2
20,2,0,0,0,0,0,1,2,0,0,2,1,0,2,1,0,0,02,1
20,3,0,0,1,0,0,1,1,0,0,2,1,0,2,1,0,0,03,2
20,4,0,0,1,2,0,1,2,0,0,2,1,0,2,1,0,0,20,1
20,5,0,0,1,2,0,1,2,0,1,1,1,0,2,1,0,0,32,2
20,6,0,0,1,2,0,1,2,0,1,1,2,0,2,2,2,0,23,1
20,7,0,0,1,2,0,1,2,0,1,1,1,1,2,2,2,0,01,2
20,8,0,2,2,2,0,2,2,0,1,2,1,1,2,2,2,0,00,1
20,9,1,2,2,2,0,1,2,0,1,2,1,1,2,2,2,0,10,2
21,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,13,1
21,1,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,03,2
21,2,0,0,0,2,0,1,2,1,0,2,1,0,0,0,0,0,31,1
21,3,0,0,0,2,0,1,2,1,0,1,1,0,0,1,0,0,30,2
21,4,0,0,0,2,0,1,2,1,0,2,1,0,2,1,0,0,20,1
21,5,0,0,0,2,0,1,2,1,1,1,1,0,2,1,0,0,32,2
21,6,0,0,0,2,0,1,2,1,1,1,2,0,2,2,2,0,23,1
21,7,0,0,0,2,0,1,2,1,1,1,1,1,2,2,2,0,10,2
21,8,0,0,0,2,2,2,2,1,2,2,1,1,2,2,2,0,02,1
21,9,0,0,1,2,2,2,1,1,2,2,1,1,2,2,2,0,33,2
22,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,20,1
22,1,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,30,2
22,2,0,0,0,0,0,1,2,0,1,2,1,0,2,0,0,0,02,1
22,3,0,0,1,0,0,1,1,0,1,2,1,0,2,0,0,0,03,2
22,4,0,0,1,2,0,1,2,0,1,2,1,0,2,0,0,0,13,1
22,5,0,0,1,2,0,1,1,1,1,2,1,0,2,0,0,0,23,2
22,6,0,0,1,2,0,1,1,2,1,2,2,2,2,0,0,0,31,1
22,7,0,0,1,2,0,1,1,2,1,1,2,2,2,1,0,0,10,2
22,8,0,0,1,2,2,2,2,2,2,1,2,2,2,1,0,0,01,1
22,9,0,1,1,2,2,1,2,2,2,1,2,2,2,1,0,0,32,2
22,10,0,1,1,2,2,1,2,2,2,2,2,2,2,2,2,0,33,1
22,11,0,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,00,2
23,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,13,1
23,1,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,03,2
23,2,0,0,0,2,0,1,2,1,0,2,1,0,0,0,0,0,20,1
23,3,0,0,0,2,0,1,2,1,1,1,1,0,0,0,0,0,30,2
23,4,0,0,0,2,0,1,2,1,1,2,1,0,2,0,0,0,31,1
23,5,0,0,0,2,0,1,2,1,1,1,1,0,2,1,0,0,32,2
23,6,0,0,0,2,0,1,2,1,1,1,2,0,2,2,2,0,23,1
23,7,0,0,0,2,0,1,2,1,1,1,1,1,2,2,2,0,33,2
23,8,0,0,0,2,0,1,2,2,1,1,1,2,2,2,2,2,02,1
23,9,0,0,1,2,0,1,1,2,1,1,1,2,2,2,2,2,00,2
23,10,2,0,1,2,0,2,1,2,1,1,2,2,2,2,2,2,01,1
23,11,2,1,1,2,0,1,1,2,1,1,2,2,2,2,2,2,10,2
24,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,20,1
24,1,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,30,2
24,2,0,0,0,0,0,1,2,0,1,2,1,0,2,0,0,0,13,1
24,3,0,0,0,0,0,1,1,1,1,2,1,0,2,0,0,0,03,2
24,4,0,0,0,2,0,1,2,1,1,2,1,0,2,0,0,0,31,1
24,5,0,0,0,2,0,1,2,1,1,1,1,0,2,1,0,0,10,2
24,6,0,0,0,2,2,2,2,1,2,1,1,0,2,1,0,0,00,1
24,7,1,0,0,2,2,1,2,1,2,1,1,0,2,1,0,0,23,2
24,8,1,0,0,2,2,1,2,2,2,2,2,2,2,1,0,0,33,1
24,9,1,0,0,2,2,1,2,2,2,2,1,2,2,1,0,1,01,2
24,10,1,2,0,2,2,2,2,2,2,2,1,2,2,1,0,1,02,1
24,11,1,1,1,2,2,2,1,2,2,2,1,2,2,1,0,1,32,2
25,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,31,1
25,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,30,2
25,2,0,0,0,0,0,1,2,0,0,2,1,0,2,1,0,0,02,1
25,3,0,0,1,0,0,1,1,0,0,2,1,0,2,1,0,0,03,2
25,4,0,0,1,2,0,1,2,0,0,2,1,0,2,1,0,0,13,1
25,5,0,0,1,2,0,1,1,1,0,2,1,0,2,1,0,0,01,2
25,6,0,2,2,2,0,2,1,1,0,2,1,0,2,1,0,0,10,1
25,7,0,2,2,2,1,1,1,1,0,2,1,0,2,1,0,0,23,2
25,8,0,2,2,2,1,1,2,2,0,2,2,2,2,1,0,0,33,1
25,9,0,2,2,2,1,1,2,2,0,2,1,2,2,1,0,1,20,2
25,10,0,2,2,2,1,2,2,2,2,2,1,2,2,1,0,1,00,1
25,11,1,2,2,2,1,1,2,2,2,2,1,2,2,1,0,1,32,2
26,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,13,1
26,1,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,03,2
26,2,0,0,0,2,0,1,2,1,0,2,1,0,0,0,0,0,31,1
26,3,0,0,0,2,0,1,2,1,0,1,1,0,0,1,0,0,30,2
26,4,0,0,0,2,0,1,2,1,0,2,1,0,2,1,0,0,02,1
26,5,0,0,1,2,0,1,1,1,0,2,1,0,2,1,0,0,23,2
26,6,0,0,1,2,0,1,1,2,0,2,2,2,2,1,0,0,33,1
26,7,0,0,1,2,0,1,1,2,0,2,1,2,2,1,0,1,01,2
26,8,0,2,2,2,0,2,2,2,0,2,1,2,2,1,0,1,00,1
26,9,1,2,2,2,0,1,2,2,0,2,1,2,2,1,0,1,10,2
26,10,1,2,2,2,2,2,2,2,0,2,1,2,2,1,0,1,20,1
26,11,1,2,2,2,1,2,2,2,1,1,1,2,2,1,0,1,32,2
27,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,31,1
27,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,30,2
27,2,0,0,0,0,0,1,2,0,0,2,1,0,2,1,0,0,13,1
27,3,0,0,0,0,0,1,1,1,0,2,1,0,2,1,0,0,03,2
27,4,0,0,0,2,0,1,2,1,0,2,1,0,2,1,0,0,02,1
27,5,0,0,1,2,0,1,1,1,0,2,1,0,2,1,0,0,01,2
27,6,0,2,2,2,0,2,1,1,0,2,1,0,2,1,0,0,00,1
27,7,1,2,2,2,0,1,1,1,0,2,1,0,2,1,0,0,20,2
27,8,1,2,2,2,0,2,1,1,2,2,1,0,2,1,0,0,10,1
27,9,1,2,2,2,1,1,1,1,2,2,1,0,2,1,0,0,32,2
27,10,1,2,2,2,1,1,2,1,2,2,2,0,2,2,2,0,33,1
27,11,1,2,2,2,1,1,2,1,2,2,1,0,2,2,2,1,23,2
28,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,31,1
28,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,0,30,2
28,2,0,0,0,0,0,1,2,0,0,2,1,0,2,1,0,0,02,1
28,3,0,0,1,0,0,1,1,0,0,2,1,0,2,1,0,0,03,2
28,4,0,0,1,2,0,1,2,0,0,2,1,0,2,1,0,0,13,1
28,5,0,0,1,2,0,1,1,1,0,2,1,0,2,1,0,0,23,2
28,6,0,0,1,2,0,1,1,2,0,2,2,2,2,1,0,0,32,1
28,7,0,0,1,2,0,1,1,2,0,2,1,2,2,1,1,0,10,2
28,8,0,0,1,2,2,2,2,2,0,2,1,2,2,1,1,0,20,1
28,9,0,0,1,2,2,1,2,2,1,1,1,2,2,1,1,0,01,2
28,10,0,2,2,2,2,1,2,2,1,1,1,2,2,1,1,0,00,1
